"species" "X18L" "X12L"
"208" "Cercopithecus_solatus" NA 1
"209" "Cercopithecus_rufiventer" NA 1
"210" "Cercopithecus_pogonias_nigripes" NA 2
"211" "Cercopithecus_lowei" 11 7
"212" "Cercopithecus_albogularis_kolbi" 8 7
"213" "Cercopithecus_mitis" 4 1
"214" "Cercopithecus_denti" 25 28
"215" "Cercopithecus_albogularis_erythrarcus" 2 1
"216" "Cercopithecus_albogularis_moloneyi" NA 3
"217" "Cercopithecus_albogularis_albotorquatus" 4 1
"218" "Cercopithecus_albogularis_zammaranoi" 1 3
"219" "Cercopithecus_mitis_boutourlinii" 10 1
"220" "Cercopithecus_cephus_cephodes" NA 1
"221" "Chlorocebus_djamdjamensis" 1 3
"222" "Chlorocebus_tantalus" 25 13
"223" "Cercopithecus_cephus_ngottoensis" NA 1
"224" "Cercopithecus_albogularis_kibonotensis" 7 5
"225" "Chlorocebus_pygerythrus_cynosuros" 22 13
"226" "Cercopithecus_doggetti" 2 2
"227" "Cercopithecus_kandti" 1 6
"228" "Cercopithecus_albogularis_monoides" 3 2
"229" "Cercopithecus_albogularis_erythrarchus" 1 1
"230" "Cercopithecus_albogularis_schwarzi" NA 1
"231" "Cercopithecus_ascanius_katangae" 7 6
"232" "Cercopithecus_cephus_schmidti" NA 1
"233" "Cercopithecus_erythrotis_camerunensis" 4 2
"234" "Cercopithecus_erythrotis_sclateri" 1 1
"235" "Chlorocebus_pygerythrus_nifoviridis" 8 5
"236" "Chlorocebus_tantalus_budgetti" 1 2
"237" "Chlorocebus_aethiops_hilgerti" 4 1
"238" "Chlorocebus_aethiops_nesiotes" 5 4
"239" "Erythrocebus_patas" 44 18
"240" "Hylobates_albibarbis" 5 5
"241" "Macaca_ochreata" 1 2
"242" "Macaca_ochreata_brunnescens" 1 3
"243" "Macaca_assamensis_pelops" 2 5
"244" "Piliocolobus_gordonorum" NA 2
"245" "Presbytis_chrysomelas_cruciger" NA 3
"246" "Presbytis_femoralis_percura" 1 4
"247" "Rhinopithecus_" NA 1
"248" "Trachypithecus_geei" NA 1
"249" "Trachypithecus_poliocephalus" 1 1
"250" "Trachypithecus_delacouri" NA 1
"251" "Trachypithecus_ebenus" NA 1
"252" "Homo_sapiens" 193 74
