"Species","cor_iso_1","cor_iso_2","cor_iso_3","cor_iso_4","cor_iso_5","cor_iso_6","cor_iso_7","cor_iso_8","cor_modules_1","cor_modules_2","cor_modules_3","cor_modules_4","cor_modules_5","cor_modules_6","cor_modules_7","cor_modules_8"
"Saimiri_sciureus",0.889223105131911,0.138748592337692,0.126866794441842,0.157084591396765,0.040970667947046,0.0228873765731297,0.0516818240837902,0.0369410743933743,0.127911572894781,0.381670179393469,0.0536877652709688,0.180874061096769,0.431663045990133,0.183960863149883,0.029277188828515,0.151722417452495
"Sapajus_apella",0.849010851368808,0.287958504252671,0.202426983856963,0.0300913080967161,0.0857323606270945,0.115427958487254,0.128369021485097,0.0342775315071621,0.0738387111667104,0.090070933945757,0.15434632474108,0.297858819187977,0.229969466447196,0.461596162643278,0.101207330495453,0.080558518530683
"Sapajus_libidinosus",0.79983614892361,0.280376610735479,0.0762791846961345,0.268780951574828,0.121031469492599,0.0721941208015733,0.0343314230435093,0.0812245128658231,0.105149102254699,0.00268111550909581,0.219211719488509,0.109156188405009,0.0781496020772745,0.4583090830669,0.205138791146063,0.298519768677624
"Sapajus_robustus",0.846048792732724,0.198898366871127,0.0209375590915424,0.0514027478002604,0.100547540445973,0.173192406069435,0.108459054121845,0.0509755201367736,0.0546687010153285,0.196275907822286,0.440602072353928,0.15708655680001,0.00362222782448821,0.257625028145182,0.278015634341271,0.148012589727373
"Theropithecus_gelada",0.823866950940985,0.0365610427769367,0.24168058767739,0.164918633939913,0.200769619022689,0.019417673498694,0.0325992278902737,0.0263791590086917,0.100143925511493,0.398901074276345,0.21659733085525,0.198891565040364,0.147650689973717,0.188847058410652,0.2418139563376,0.00928028192356058
"Trachypithecus_cristatus",0.837659763445671,0.0328546400883099,0.0792533185972074,0.232076104081024,0.176195833348434,0.0745494049334416,0.105652258804809,0.157840293183418,0.0882592060378325,0.0188038080339091,0.449479670294287,0.247283969435703,0.0523248467018394,0.331667671961277,0.0266108346326672,0.00456859566581484
"Trachypithecus_obscurus",0.795955482400142,0.291942431112466,0.152269708643747,0.245473077468672,0.105865188749089,0.145371375780037,0.0220393986442413,0.0460121992063856,0.0522713027170237,0.18653914855957,0.349009947998347,0.291719439889835,0.25720795780765,0.277200985777825,0.0978566327031278,0.267747095589489
"Trachypithecus_phayrei",0.629676940746631,0.331687613043015,0.238355596596397,0.452634092225554,0.0673276122514615,0.158673217093731,0.11331424955493,0.210620224644175,0.0573414701434327,0.245029098885174,0.346510344663279,0.0149320656218191,0.42846861119318,0.147222117519202,0.229539781701569,0.0954913155013818
"63",0.898474138673028,0.222620886772307,0.0266952299426267,0.0590371897466741,0.0481092939534702,0.0143070934669779,0.113093413707003,0.0740760512255548,0.185053238468982,0.582845505542009,0.0652880902608419,0.161386044055265,0.0510857661785255,0.18664347561415,0.0906532835297234,0.217400098247069
"64",0.880552676430332,0.269878934618002,0.0278036497991539,0.0436056799601448,0.0328997630488513,0.137132889225303,0.00184759008369707,0.0542088622824731,0.21158099394517,0.583161259614392,0.0837794603612379,0.0220082764392619,0.077837580039939,0.154322087768864,0.152147395155249,0.222419886369404
"65",0.854613965534433,0.307707873759704,0.0127699428330724,0.00072412883740245,0.0864189672497824,0.0132406183053491,0.193545819637084,0.0483083682086233,0.257979796100793,0.502334360300765,0.137171717833886,0.0147239720077675,0.12537878149554,0.215590868300823,0.308151588268972,0.140406726473767
"66",0.847118952361511,0.313154616579427,0.0147050355607874,0.0389915707111852,0.112314604968394,0.0032775505651271,0.197779074524782,0.0785730266329098,0.267287116883605,0.478950100498484,0.0979106477865595,0.0166872755736354,0.163936742855474,0.182094117064488,0.314082010241254,0.191039329406513
"67",0.834939226920709,0.331458801694918,0.00165265090291366,0.0544849353658521,0.114658084033515,0.0370607211421384,0.220912192154138,0.0836316906978074,0.280272388309788,0.443398844698254,0.108704866228676,0.0523641939188743,0.13372597920482,0.144831982065921,0.345258510816163,0.185799259786038
"68",0.773996704932475,0.368991749136631,0.0367987751695137,0.215093902726113,0.0614731197249486,0.0220506200579589,0.160976071966205,0.133222130560679,0.332369427187772,0.336797782109474,0.0428546572336152,0.0787285103897793,0.0063709281049574,0.11812918785574,0.236797711550671,0.176624483618297
