"","Species","ISPM","ISNSL","ISPNS","PMZS","PMZI","PMMT","NSLNA","NSLZS","NSLZI","NABR","NAFM","NAPNS","BRPT","BRAPET","PTFM","PTAPET","PTBA","PTEAM","PTZYGO","PTTSP","FMZS","FMMT","ZSZI","ZIMT","ZIZYGO","ZITSP","MTPNS","PNSAPET","APETBA","APETTS","BAEAM","EAMZYGO","ZYGOTSP","LDAS","BRLD","OPILD","PTAS","JPAS","BAOPI"
"11","Cercopithecus_neglectus",10.8328133853755,22.6581488461027,38.3471157951952,24.5156759985759,27.9796202454944,32.5036717349992,19.9233254078888,18.4210464786977,32.0277166566648,45.6113449158156,26.1196096272687,30.3271255291512,37.0658513319398,42.5338470133976,17.9967958192534,26.2174642807648,39.1894562594128,23.2991305850013,21.6868428852685,4.23325619767031,14.9907813249289,30.096453257343,15.7054970483142,14.0981304842707,21.7235875789899,24.2615865660619,15.3245020228439,15.0074680404335,18.4066179312101,13.0576319849716,27.906172257501,16.6477584923502,20.190903753324,27.3159048399568,31.8012072453089,25.1631435262013,37.6482976517453,20.9361529001776,13.6080671877741
"12","Cercopithecus_nictitans",11.4804976826293,23.3493363048517,39.3065808122281,22.9713846683384,26.4788435213788,31.9974524503753,15.978881322546,17.3298689962743,32.1383908590957,44.0103986992611,26.0508336340901,30.122017254322,35.6673471736572,43.6062310933153,17.625234780448,26.5881622530197,39.7785359009871,24.7637595504241,21.5664493863714,3.48024703579093,15.1249529996208,29.5767491495351,16.9904843599349,12.9246172127981,20.8946227708091,25.0538710375708,15.3833115935458,14.2683400258096,18.5541379469011,12.7702588360224,28.5054440915437,19.2855212468492,19.9679902260432,28.7273598946522,34.183550067846,28.9185476118102,39.1023158621501,20.4201460592719,13.5577194969461
"13","Cercopithecus_petaurista",9.99294697384036,18.9483275786003,35.4009357977921,19.7388094217208,23.6074914581164,29.2906212077289,15.0546410010328,16.3727540453843,29.4527448745988,42.8840528532599,24.806772437223,29.0224054395224,35.152251492719,41.4974033325592,15.9824738592108,24.4242914740617,37.1088713014357,22.710648561917,19.4239782363796,4.34022350123346,13.6119158524455,27.5844247897463,15.2982893297123,12.9523984864644,19.4585771872285,24.7399757980028,13.9799631894718,12.9046010512639,16.7063696549995,11.9684011545078,26.1364747171217,16.9049651026907,16.7502892101682,28.0201359759213,32.0575594800984,28.34542564162,36.4078744399862,19.2297138931032,12.7559425850719
"14","Cercopithecus_pogonias",11.0116308452617,21.8859136511096,36.4127149680934,20.8243585391902,24.9444595756058,29.9152406756322,14.9162391208938,17.3188635863578,31.9187014803188,44.2318480516163,25.3715211515979,29.4447391532621,36.0329673229701,42.9349605295079,15.4801411381233,26.5116861158874,39.0232632963152,25.0631711663815,21.9017473145494,3.37184720801257,14.470481872217,29.1948157053482,16.505885226719,13.3883030898393,18.9910248766485,24.071985250448,14.6494216621489,13.1665099648393,16.7869493879146,12.2878288191589,27.1110364605178,18.5302564281477,19.9724546568691,28.6207996641654,32.1884924532156,27.7976635592987,38.2631777961704,19.4846199655609,13.6260511035866
"15","Cercopithecus_wolfi",10.5178164537395,20.5980021170583,33.3128748623712,19.2716231306716,22.7403044471739,27.8888237889015,13.3220951127175,16.8393675047736,29.8946775828944,43.2086319658801,24.4388764594706,27.3062726110108,35.2677919836371,41.2990820770542,14.3339819682563,26.5112867903566,37.9984362088835,23.9376100518058,21.6014575570535,4.04899064296009,13.7548261650735,27.2839273502964,15.2417172496619,12.2767360988013,17.9484285476251,24.9710556039541,13.7584577712698,13.2242788041378,15.8548946752329,12.3071025715051,26.905398394631,17.8085637995145,19.2489902554786,28.3050585348974,30.2458715550186,26.8453422823975,37.4165930620138,19.0523738045761,13.0362118378846
"16","Chlorocebus_aethiops",10.1560631797374,21.0445522828098,34.2269989733668,21.9541354353237,24.2929012186393,29.9429650136615,13.7136271922494,19.2557760775045,30.5593637454128,42.6968532446399,24.7517842700998,27.439864301633,33.6295123129938,42.4087471795815,17.3778697111566,26.1222087971413,37.1981894537808,22.8412145115945,21.6008761672583,3.56590278713023,12.0917183840703,26.3795103649392,13.8511924585201,12.6730906024181,20.7770723445719,25.4025811438829,13.7861211106955,14.624357266666,16.2886983512342,11.2179727163841,25.3427935116128,16.0718174992016,20.1187660542082,26.0220658832146,33.7868773788311,26.9640394646473,35.092613642167,19.6478701261168,13.702157307046
"17","Colobus_angolensis",10.2335928561891,25.7982748533867,43.1036608906155,23.9009851232298,26.7428528028867,36.5142386809933,11.10370052865,21.1700520070337,32.0903001869238,46.2142151696218,29.2242731440416,33.1854916363212,34.6846141479324,43.310557198807,22.1386983843026,27.6846891199422,43.3622310926728,27.9867195971346,25.3672005209965,3.61027423863197,17.6375581514116,34.7216626305904,12.7245002321216,18.7115680601562,28.6539518573341,33.1229242999119,16.7823367258331,18.7481976598817,19.7049403037601,11.9011784246926,29.2734603083073,23.1619383429376,23.0932655218173,25.58335781865,39.3883998663971,24.4273017762828,42.4782002222966,23.7833637537471,15.8531888535776
"18","Colobus_guereza",10.6312631634355,27.2990452552964,45.2383417641818,27.6683346760719,31.3798840311365,38.8614839250886,12.0939628279137,22.8380498373632,34.2769868978664,49.0986253668262,29.3511015260185,33.2597808024756,34.0489850049823,44.462235213177,21.6232734152112,31.5467737603549,45.8662579924049,30.7966912861195,28.2736821886357,5.45692046918783,16.2883500611111,34.7885785735433,13.2314652420438,19.1510570499046,24.6727760079406,31.2748395793748,16.6547423224686,19.0501620794759,19.3738401901236,11.7851504891988,28.9768518139519,23.9582434837275,24.7807556011219,25.9409319696222,36.9827323734059,24.7029896671958,41.9745921915699,24.1130709923438,15.5637660472181
"19","Erythrocebus_patas",12.6236619682653,27.7712544646347,44.7709044952927,30.4738956850882,32.9371501956065,36.2874158858825,18.7413281374179,19.4022664589436,36.5022769825076,52.4025638231631,29.1524044281798,34.7205908568433,39.2853920011345,48.5262352720378,18.7257678540673,29.7896770109963,43.6476093224671,28.8244540132707,26.8271460991924,4.22081331206413,18.5584497416854,33.4845624471282,19.8540184672098,14.4099557878536,23.5411170994567,28.9238051025471,15.3606157922438,17.3850115962263,18.4669957114592,12.76746833736,29.3704583526381,17.9420824327416,23.6297808119352,32.6305536392361,37.9326335018955,34.9098327412791,44.2528151246242,24.9466315470333,15.5130434938886
"20","Gorilla_gorilla",22.7002701400618,53.8774013010474,87.9288248723395,71.4922482297802,66.4142399424318,73.9121872837115,47.6298970424263,36.1634090999923,64.5767931619317,84.0384835091572,51.1472473426178,77.4145289606149,61.6066981063832,90.5862874510615,44.8617319953111,55.0352152016189,80.0858448034576,47.7641285102465,53.600846104544,18.7534628198004,36.0272824356504,88.6152611020643,42.7377212045529,44.3070301010491,45.898640845474,60.53720478307,34.6415045152751,37.6167098585964,38.6884701870148,19.0202410918305,62.7380729040086,44.2164787986543,47.2281640659916,60.0517993491105,65.5291770764004,66.2804914141954,79.383706690412,58.9024428429772,32.1240567562541
