"","formula","AICc","R2","deltaAICc","weight"
"991","normas ~ size + nmds1 + nmds2 + social + prop + dominance + aggression",9.9949709876089,0.600022000309427,21.6779475111211,1.43686547035907e-06
"992","normas ~ integration + size + nmds1 + clima + social + prop + dominance + aggression",10.0367327626377,0.626895498428505,21.7197092861498,1.40717352006435e-06
"993","normas ~ size + nmds1 + nmds2 + clima + social + prop + aggression",10.0590315368129,0.59926767784183,21.742008060325,1.39157153569298e-06
"994","normas ~ integration + size + nmds1 + nmds2 + clima + cvn + social + dominance + aggression",10.0656302204747,0.654854782818819,21.7486067439869,1.38698783127648e-06
"995","normas ~ size + nmds2 + clima + social + prop + dominance + aggression",10.0694040592695,0.599145406103252,21.7523805827817,1.38437316464205e-06
"996","normas ~ size + nmds1 + clima + social + prop + dominance + aggression",10.3332778043044,0.59602227297592,22.0162543278166,1.2132595442669e-06
"997","normas ~ size + nmds1 + nmds2 + clima + social + mating + prop + aggression",10.3680284728524,0.623242201402916,22.0510049963645,1.19236084088057e-06
"998","normas ~ size + nmds2 + clima + social + mating + prop + dominance + aggression",10.3693872330916,0.623227144528038,22.0523637566038,1.19155104973901e-06
"999","normas ~ size + nmds1 + nmds2 + social + mating + prop + dominance + aggression",10.3752093243731,0.623162621181509,22.0581858478853,1.18808743406754e-06
"1000","normas ~ size + nmds1 + nmds2 + clima + social + mating + prop + dominance",10.4615186138093,0.622204801084542,22.1444951373215,1.13790650065155e-06
"1001","normas ~ size + nmds1 + nmds2 + clima + social + mating + dominance + aggression",10.5221971376165,0.621529962172889,22.2051736611287,1.10390170582305e-06
"1002","normas ~ size + nmds1 + nmds2 + clima + mating + prop + dominance + aggression",10.6035427932846,0.620623381235098,22.2865193167968,1.05990372812573e-06
"1003","normas ~ integration + size + nmds2 + clima + cvn + social + mating + prop + dominance + aggression",11.3386386119087,0.671830086596452,23.0216151354209,7.33909299742891e-07
"1004","normas ~ size + nmds1 + nmds2 + clima + cvn + social + mating + prop + dominance + aggression",11.4216182506528,0.671028184299127,23.104594774165,7.04082566875443e-07
"1005","normas ~ integration + size + nmds2 + clima + social + mating + prop + dominance + aggression",11.4345920612225,0.640674439470707,23.1175685847347,6.99530031847356e-07
"1006","normas ~ integration + size + nmds1 + nmds2 + clima + social + mating + prop + aggression",11.4354879545043,0.640664971188444,23.1184644780165,6.99216749891417e-07
"1007","normas ~ integration + size + nmds1 + nmds2 + social + mating + prop + dominance + aggression",11.4900912398834,0.640087423043813,23.1730677633955,6.8038521958471e-07
"1008","normas ~ integration + size + nmds1 + nmds2 + clima + social + mating + dominance + aggression",11.5121568215174,0.639853768398757,23.1951333450296,6.7291992900106e-07
"1009","normas ~ integration + size + nmds1 + nmds2 + clima + social + mating + prop + dominance",11.5288251199146,0.639677165558489,23.2118016434267,6.67335018977134e-07
"1010","normas ~ integration + size + nmds1 + nmds2 + clima + cvn + social + mating + prop + dominance",11.5507204850696,0.669776662756348,23.2336970085818,6.60069092116312e-07
"1011","normas ~ integration + size + nmds1 + nmds2 + clima + mating + prop + dominance + aggression",11.575272031503,0.639184597341832,23.2582485550152,6.5201576517422e-07
"1012","normas ~ integration + size + nmds1 + clima + cvn + social + mating + prop + dominance + aggression",11.6399091404678,0.668909285149283,23.32288566398,6.31280430946097e-07
"1013","normas ~ size + nmds1 + clima + social + mating + prop + dominance + aggression",11.7743271807451,0.607332081465967,23.4573037042573,5.90247043305109e-07
"1014","normas ~ integration + size + nmds1 + nmds2 + clima + cvn + social + mating + prop + aggression",11.881739238473,0.666545957999713,23.5647157619851,5.59383418005591e-07
"1015","normas ~ integration + size + nmds1 + nmds2 + clima + cvn + mating + prop + dominance + aggression",11.9585168552242,0.665792112853651,23.6414933787364,5.38316312848322e-07
"1016","normas ~ integration + size + nmds1 + nmds2 + clima + cvn + social + mating + dominance + aggression",12.0281589938948,0.665106853873474,23.711135517407,5.1989416403248e-07
"1017","normas ~ integration + size + nmds1 + clima + social + mating + prop + dominance + aggression",12.3006432913785,0.631404098383237,23.9836198148907,4.5367592039435e-07
"1018","normas ~ integration + size + nmds1 + nmds2 + cvn + social + mating + prop + dominance + aggression",12.4751453633198,0.660675060434426,24.1581218868319,4.15769938753842e-07
"1019","normas ~ cvn + mating",12.4858345657358,0.439527839724581,24.168811089248,4.13553741856653e-07
"1020","normas ~ integration + size + nmds1 + nmds2 + clima + cvn + social + prop + dominance + aggression",13.2487204106058,0.6528661712048,24.931696934118,2.82405661097667e-07
"1021","normas ~ size + nmds1 + nmds2 + clima + social + prop + dominance + aggression",13.7177134633928,0.584233966017505,25.400689986905,2.23374118100464e-07
"1022","normas ~ integration + size + nmds1 + nmds2 + clima + social + prop + dominance + aggression",13.9467020919641,0.613120056832733,25.6296786154762,1.99208837896951e-07
"1023","normas ~ cvn + prop",14.0449072356985,0.413228984802966,25.7278837592107,1.89663441183577e-07
"1024","normas ~ cvn + mating + prop",14.2114137604623,0.435206795199195,25.8943902839745,1.74512762563847e-07
"1025","normas ~ cvn",14.3159028337337,0.384875828227554,25.9988793572459,1.65629495702136e-07
"1026","normas ~ size + nmds1 + nmds2 + clima + social + mating + prop + dominance + aggression",14.4332447125066,0.607543973087999,26.1162212360188,1.5619143476449e-07
"1027","normas ~ clima + cvn + mating",14.5867029553908,0.428938121495167,26.269679478903,1.44655243365824e-07
"1028","normas ~ nmds1 + cvn",14.7419815950232,0.401074727007111,26.4249581185354,1.33849222283292e-07
"1029","normas ~ cvn + social + mating",14.8905691580225,0.423811529042828,26.5735456815347,1.24265471717473e-07
"1030","normas ~ nmds2 + cvn + mating",14.9097601667484,0.423486212594133,26.5927366902606,1.23078784378429e-07
"1031","normas ~ integration + cvn + mating",14.9584174580072,0.422660574914014,26.6413939815194,1.20120574773436e-07
"1032","normas ~ nmds1 + cvn + mating",14.9670767552479,0.422513516373561,26.6500532787601,1.19601619151026e-07
"1033","normas ~ cvn + mating + aggression",15.049412919219,0.42111335047101,26.7323894427312,1.1477782434405e-07
"1034","normas ~ cvn + mating + dominance",15.0532259438875,0.421048425975364,26.7362024673997,1.1455920747034e-07
"1035","normas ~ clima + cvn + prop",15.3695855063187,0.41563631936164,27.0525620298308,9.77987703586292e-08
"1036","normas ~ cvn + aggression",15.7758746769293,0.382582499309572,27.4588512004414,7.98194667256135e-08
"1037","normas ~ integration + size + nmds1 + nmds2 + clima + social + mating + prop + dominance + aggression",15.8688882277822,0.625056953407063,27.5518647512944,7.61923179426669e-08
"1038","normas ~ clima + cvn + mating + prop",15.8836117302083,0.434187522385175,27.5665882537205,7.56334686323407e-08
"1039","normas ~ nmds1 + clima + cvn",15.9277775869663,0.405963393860413,27.6107541104785,7.39815667068402e-08
"1040","normas ~ cvn + social",15.9351301215623,0.379683742255909,27.6181066450745,7.3710090008703e-08
"1041","normas ~ nmds1 + cvn + prop",15.9750882289433,0.405136222811792,27.6580647524555,7.22520458337154e-08
"1042","normas ~ integration + size + nmds1 + nmds2 + clima + cvn + social + mating + prop + dominance + aggression",16.1901684285845,0.656969907666527,27.8731449520966,6.4885264122683e-08
"1043","normas ~ cvn + prop + aggression",16.1927354806613,0.401316053771725,27.8757120041735,6.48020356210723e-08
"1044","normas ~ nmds2 + cvn",16.2979872552695,0.373028108327298,27.9809637787817,6.14799514797428e-08
"1045","normas ~ nmds2 + cvn + prop",16.3008166851031,0.399409893846934,27.9837932086153,6.1393036369847e-08
"1046","normas ~ cvn + dominance",16.3972360544975,0.371195251928885,28.0802125780097,5.85035086786558e-08
"1047","normas ~ cvn + social + prop",16.4281706809269,0.397156041528587,28.111147204439,5.76055787688371e-08
"1048","normas ~ clima + cvn",16.4549616591906,0.370126752944633,28.1379381827028,5.68390692115091e-08
"1049","normas ~ cvn + prop + dominance",16.5721600690717,0.394597594548449,28.2551365925839,5.3604055233969e-08
"1050","normas ~ integration + cvn",16.5960398729341,0.367507752745979,28.2790163964463,5.29678338402438e-08
"1051","normas ~ integration + cvn + prop",16.6183675683229,0.393774266641103,28.3013440918351,5.2379797491972e-08
"1052","normas ~ nmds1 + clima + cvn + prop",16.6796780865813,0.420783442193102,28.3626546100935,5.0798443472519e-08
"1053","normas ~ cvn + social + mating + prop",16.7333791062414,0.419867880528854,28.4163556297536,4.94526281351586e-08
"1054","normas ~ nmds1 + clima + cvn + mating",16.8983473110611,0.417046236208365,28.5813238345733,4.55372695460266e-08
"1055","normas ~ nmds2 + cvn + mating + prop",16.9135891648677,0.416784845386741,28.5965656883799,4.51915523593726e-08
"1056","normas ~ cvn + mating + prop + dominance",16.932738352822,0.416456279439573,28.6157148763342,4.47609264183259e-08
"1057","normas ~ integration + cvn + mating + prop",16.9492964604399,0.416172022589235,28.632272983952,4.43918780934042e-08
"1058","normas ~ cvn + mating + prop + aggression",16.9583246124886,0.416016975894766,28.6413011360007,4.41919413850847e-08
"1059","normas ~ nmds2 + clima + cvn + mating",16.9686691185601,0.415839271923537,28.6516456420722,4.39639595801423e-08
"1060","normas ~ nmds1 + cvn + mating + prop",16.9692899980274,0.415828604373145,28.6522665215396,4.3950313538485e-08
"1061","normas ~ integration + nmds1 + cvn",17.1801940494709,0.383673582164372,28.8631705729831,3.95516626438508e-08
"1062","normas ~ nmds1 + cvn + dominance",17.1910905304557,0.383476027300805,28.8740670539678,3.93367616216999e-08
"1063","normas ~ clima + cvn + social + mating",17.2080107250769,0.411712588652192,28.8909872485891,3.90053725589015e-08
"1064","normas ~ nmds1 + nmds2 + cvn",17.2195497853827,0.38295975794188,28.9025263088948,3.87809778343245e-08
"1065","normas ~ nmds1 + cvn + aggression",17.2334262494587,0.382707873110442,28.9164027729708,3.85128376963646e-08
"1066","normas ~ integration + clima + cvn + mating",17.2394294664251,0.411168712397681,28.9224059899373,3.83974105562266e-08
"1067","normas ~ clima + cvn + mating + dominance",17.2642546231235,0.410738619253599,28.9472311466356,3.79237454733009e-08
"1068","normas ~ nmds1 + cvn + social",17.3212386025725,0.381111522118705,29.0042151260847,3.68584704734348e-08
"1069","normas ~ clima + cvn + mating + aggression",17.3363274839639,0.409488183994885,29.019304007476,3.65814402618288e-08
"1070","normas ~ nmds1 + cvn + social + mating",17.3448217766905,0.40934063673452,29.0277983002027,3.64264029968841e-08
"1071","normas ~ clima + cvn + prop + dominance",17.361882960415,0.409044169771507,29.0448594839272,3.6116985851977e-08
