"","formula","AICc","R2","deltaAICc","weight"
"871","normas ~ size + nmds1 + nmds2 + cvn + social + prop + integration",40.9248287576025,0.741744059665769,47.7378182129706,1.54456453786796e-11
"872","normas ~ nmds1 + nmds2 + cvn + social + mating + dominance + integration",40.9442137793215,0.741326531097182,47.7572032346895,1.52966614735275e-11
"873","normas ~ nmds1 + nmds2 + social + prop + mating + dominance + integration",40.9867923178024,0.740407072657836,47.7997817731705,1.49744487354982e-11
"874","normas ~ nmds1 + nmds2 + clima + cvn + social + dominance + integration",40.989697108891,0.740344226449848,47.802686564259,1.49527156991799e-11
"875","normas ~ nmds1 + nmds2 + clima + cvn + social + mating + integration",41.0886118186189,0.7381950663483,47.9016012739869,1.42311835368754e-11
"876","normas ~ size + nmds1 + nmds2 + clima + cvn + social + integration",41.192428369845,0.735920266683852,48.005417825213,1.35113126009244e-11
"877","normas ~ size + nmds1 + nmds2 + cvn + social + dominance + integration",41.6339212425365,0.726023550926179,48.4469106979046,1.08349916965782e-11
"878","normas ~ nmds1 + clima + cvn + social + prop + mating + dominance",41.8806791647966,0.720331405640884,48.6936686201646,9.57735930673039e-12
"879","normas ~ size + nmds1 + clima + cvn + social + mating + integration",41.9845258495077,0.717900681840062,48.7975153048758,9.0927606609034e-12
"880","normas ~ nmds1 + nmds2 + clima + social + mating + dominance + integration",42.0792422175645,0.715665252719718,48.8922316729325,8.67218156257789e-12
"881","normas ~ nmds1 + cvn + social + prop + mating + dominance + integration",42.0815820248863,0.715609806604049,48.8945714802543,8.66204187800331e-12
"882","normas ~ nmds1 + clima + cvn + social + prop + dominance + integration",42.3346232003407,0.709549263479701,49.1476126557087,7.63261024544487e-12
"883","normas ~ size + nmds1 + clima + cvn + social + dominance + integration",42.4308612414288,0.707210530393135,49.2438506967969,7.27403289765069e-12
"884","normas ~ size + nmds1 + nmds2 + clima + cvn + prop + mating",42.8904256996966,0.69578008174744,49.7034151550646,5.78072229873706e-12
"885","normas ~ size + nmds1 + nmds2 + clima + prop + mating + dominance",42.9177251301773,0.695087208043103,49.7307145855453,5.7023531604596e-12
"886","normas ~ size + nmds1 + nmds2 + prop + mating + dominance + integration",42.9229002065717,0.694955684102206,49.7358896619397,5.68761717702485e-12
"887","normas ~ size + nmds1 + nmds2 + cvn + prop + mating + integration",42.9240920267648,0.694925386099699,49.7370814821329,5.68422887818456e-12
"888","normas ~ size + nmds1 + nmds2 + cvn + prop + mating + dominance",42.9278488595548,0.694829861621509,49.7408383149229,5.67356155144419e-12
"889","normas ~ size + nmds1 + nmds2 + clima + prop + mating + integration",42.930170543747,0.69477081351905,49.743159999115,5.66697926359809e-12
"890","normas ~ size + nmds1 + nmds2 + clima + cvn + mating + dominance",43.0450465900603,0.691834822634557,49.8580360454283,5.3506507812982e-12
"891","normas ~ nmds1 + nmds2 + clima + cvn + prop + mating + dominance",43.08208693008,0.690882141159733,49.895076385448,5.25246780819565e-12
"892","normas ~ nmds1 + clima + cvn + social + mating + dominance + integration",43.1481759457701,0.689175003261871,49.9611654011381,5.08173895514609e-12
"893","normas ~ nmds1 + nmds2 + clima + cvn + prop + mating + integration",43.2712170177715,0.685971588276252,50.0842064731395,4.77853006304612e-12
"894","normas ~ nmds1 + clima + cvn + social + prop + mating + integration",43.2768596059843,0.685823892469989,50.0898490613524,4.76506742430339e-12
"895","normas ~ nmds1 + nmds2 + cvn + prop + mating + dominance + integration",43.3625010694176,0.683573663849305,50.1754905247856,4.5653307058223e-12
"896","normas ~ size + nmds2 + clima + cvn + prop + mating + dominance",43.3852333346592,0.682973671779378,50.1982227900272,4.51373433264462e-12
"897","normas ~ size + nmds2 + cvn + social + mating + dominance + integration",43.4221199786411,0.681997669378839,50.2351094340091,4.43124906627209e-12
"898","normas ~ size + nmds1 + clima + cvn + prop + mating + dominance",43.4567914856654,0.681077539086291,50.2697809410334,4.35509205159453e-12
"899","normas ~ size + nmds2 + social + prop + mating + dominance + integration",43.4760633302383,0.680564942243058,50.2890527856063,4.31332826249839e-12
"900","normas ~ size + nmds2 + clima + social + mating + dominance + integration",43.5559044767113,0.678432517705847,50.3688939320793,4.1445294156907e-12
